Date,City,Highest AQI,Rounded AQI
2023-01-30,Launceston,6.6000000000000005,7
2023-01-30,Wollongong,26.4,26
2023-01-30,Darwin,18.7,19
2023-01-30,Adelaide,22.44,22
2023-01-30,Hobart,11.88,12
2023-01-30,Canberra,15.84,16
2023-01-30,Brisbane,27.72,28
2023-01-31,Adelaide,22.44,22
2023-01-31,Brisbane,27.72,28
2023-01-31,Canberra,19.8,20
2023-01-31,Darwin,23.76,24
2023-01-31,Hobart,11.88,12
2023-01-31,Launceston,11.88,12
2023-01-31,Newcastle,22.44,22
2023-01-31,Perth,13.2,13
2023-01-31,Sydney,21.12,21
2023-01-31,Wollongong,17.16,17
2023-01-31,Melbourne,22.44,22
2023-02-01,Newcastle,17.16,17
2023-02-01,Sydney,17.16,17
2023-02-01,Perth,9.850746268656716,10
2023-02-01,Wollongong,11.88,12
2023-02-01,Melbourne,22.44,22
2023-02-01,Launceston,6.6000000000000005,7
2023-02-01,Darwin,19.8,20
2023-02-01,Canberra,21.12,21
2023-02-01,Brisbane,31.68,32
2023-02-01,Adelaide,17.16,17
2023-02-01,Hobart,6.6000000000000005,7
2023-02-02,Wollongong,31.68,32
2023-02-02,Sydney,26.4,26
2023-02-02,Perth,9.35820895522388,9
2023-02-02,Newcastle,22.44,22
2023-02-02,Melbourne,25.08,25
2023-02-02,Hobart,6.6000000000000005,7
2023-02-02,Darwin,18.7,19
2023-02-02,Canberra,29.040000000000003,29
2023-02-02,Brisbane,25.08,25
2023-02-02,Adelaide,27.72,28
2023-02-02,Launceston,6.6000000000000005,7
2023-02-03,Wollongong,27.72,28
2023-02-03,Sydney,21.12,21
2023-02-03,Perth,8.373134328358208,8
2023-02-03,Newcastle,35.64,36
2023-02-03,Melbourne,21.12,21
2023-02-03,Hobart,6.6000000000000005,7
2023-02-03,Darwin,18.15,18
2023-02-03,Adelaide,35.64,36
2023-02-03,Launceston,6.6000000000000005,7
2023-02-03,Canberra,25.08,25
2023-02-03,Brisbane,33.0,33
2023-02-04,Wollongong,17.16,17
2023-02-04,Sydney,17.16,17
2023-02-04,Perth,10.56,11
2023-02-04,Newcastle,19.8,20
2023-02-04,Melbourne,34.32,34
2023-02-04,Darwin,19.25,19
2023-02-04,Canberra,18.48,18
2023-02-04,Brisbane,30.360000000000003,30
2023-02-04,Adelaide,25.08,25
2023-02-04,Hobart,6.6000000000000005,7
2023-02-04,Launceston,6.6000000000000005,7
2023-02-05,Launceston,11.88,12
2023-02-05,Wollongong,14.52,15
2023-02-05,Sydney,21.12,21
2023-02-05,Newcastle,26.4,26
2023-02-05,Melbourne,26.4,26
2023-02-05,Hobart,11.88,12
2023-02-05,Canberra,30.360000000000003,30
2023-02-05,Brisbane,34.32,34
2023-02-05,Adelaide,17.16,17
2023-02-05,Darwin,19.25,19
2023-02-06,Wollongong,25.08,25
2023-02-06,Sydney,26.4,26
2023-02-06,Perth,11.88,12
2023-02-06,Newcastle,26.4,26
2023-02-06,Melbourne,17.16,17
2023-02-06,Launceston,6.6000000000000005,7
2023-02-06,Darwin,19.25,19
2023-02-06,Canberra,33.0,33
2023-02-06,Brisbane,30.360000000000003,30
2023-02-06,Adelaide,17.16,17
2023-02-06,Hobart,6.6000000000000005,7
2023-02-07,Newcastle,29.040000000000003,29
2023-02-07,Wollongong,29.040000000000003,29
2023-02-07,Sydney,22.44,22
2023-02-07,Perth,11.88,12
2023-02-07,Melbourne,15.84,16
2023-02-07,Adelaide,17.16,17
2023-02-07,Hobart,17.16,17
2023-02-07,Brisbane,26.4,26
2023-02-07,Launceston,6.6000000000000005,7
2023-02-07,Darwin,18.48,18
2023-02-07,Canberra,34.32,34
2023-02-08,Wollongong,6.6,7
2023-02-08,Sydney,17.16,17
2023-02-08,Perth,9.24,9
2023-02-08,Launceston,11.88,12
2023-02-08,Melbourne,31.68,32
2023-02-08,Darwin,22.44,22
2023-02-08,Canberra,11.88,12
2023-02-08,Brisbane,30.360000000000003,30
2023-02-08,Adelaide,22.44,22
2023-02-08,Hobart,11.88,12
2023-02-09,Melbourne,47.52,48
2023-02-09,Wollongong,21.12,21
2023-02-09,Sydney,18.48,18
2023-02-09,Perth,10.56,11
2023-02-09,Launceston,6.6000000000000005,7
2023-02-09,Newcastle,31.68,32
2023-02-09,Darwin,25.08,25
2023-02-09,Canberra,21.12,21
2023-02-09,Brisbane,23.76,24
2023-02-09,Adelaide,22.44,22
2023-02-09,Hobart,6.6000000000000005,7
2023-02-10,Wollongong,34.32,34
2023-02-10,Sydney,31.68,32
2023-02-10,Perth,9.24,9
2023-02-10,Newcastle,25.08,25
2023-02-10,Melbourne,62.040000000000006,62
2023-02-10,Launceston,6.6000000000000005,7
2023-02-10,Darwin,19.8,20
2023-02-10,Canberra,36.96,37
2023-02-10,Brisbane,26.4,26
2023-02-10,Adelaide,39.6,40
2023-02-10,Hobart,6.6000000000000005,7
2023-02-11,Newcastle,27.72,28
2023-02-11,Sydney,40.92,41
2023-02-11,Wollongong,43.56,44
2023-02-11,Perth,10.56,11
2023-02-11,Melbourne,55.44,55
2023-02-11,Brisbane,26.4,26
2023-02-11,Hobart,6.6000000000000005,7
2023-02-11,Launceston,6.6000000000000005,7
2023-02-11,Adelaide,33.0,33
2023-02-11,Canberra,29.040000000000003,29
2023-02-11,Darwin,19.8,20
2023-02-12,Wollongong,40.92,41
2023-02-12,Sydney,36.96,37
2023-02-12,Perth,11.88,12
2023-02-12,Newcastle,47.52,48
2023-02-12,Launceston,6.6000000000000005,7
2023-02-12,Melbourne,34.32,34
2023-02-12,Darwin,19.8,20
2023-02-12,Canberra,43.56,44
2023-02-12,Brisbane,33.0,33
2023-02-12,Adelaide,44.88,45
2023-02-12,Hobart,11.88,12
2023-02-13,Newcastle,43.56,44
2023-02-13,Sydney,39.6,40
2023-02-13,Wollongong,26.4,26
2023-02-13,Perth,10.835820895522389,11
2023-02-13,Melbourne,25.08,25
2023-02-13,Brisbane,82.13333333333333,82
2023-02-13,Hobart,11.88,12
2023-02-13,Darwin,19.8,20
2023-02-13,Canberra,35.64,36
2023-02-13,Adelaide,33.0,33
2023-02-13,Launceston,6.6000000000000005,7
2023-02-14,Wollongong,19.8,20
2023-02-14,Sydney,22.44,22
2023-02-14,Perth,9.35820895522388,9
2023-02-14,Newcastle,31.68,32
2023-02-14,Melbourne,18.48,18
2023-02-14,Launceston,11.88,12
2023-02-14,Darwin,19.8,20
2023-02-14,Canberra,25.08,25
