Date,Country,City,Pollutant,count,min,max,median,variance
30/12/2022,AU,Sydney,co,8,1.2,2.3,2.3,2.59
30/12/2022,AU,Sydney,no2,65,1,13,2.8,68.54
30/12/2022,AU,Sydney,o3,133,0.8,14.5,9.6,95.4
30/12/2022,AU,Sydney,pm10,144,1,26,14,200.99
30/12/2022,AU,Sydney,pm2.5,137,1,60,16,900.63
30/12/2022,AU,Sydney,so2,7,1.5,1.5,1.5,0
30/12/2022,AU,Wollongong,co,4,2.3,3.4,2.3,3.03
30/12/2022,AU,Wollongong,no2,23,1,6.5,2.8,21.45
30/12/2022,AU,Wollongong,o3,41,0.8,12.1,8.8,75.03
30/12/2022,AU,Wollongong,pm10,48,5,27,11,470.35
30/12/2022,AU,Wollongong,pm2.5,44,1,60,12,1602.13
30/12/2022,AU,Wollongong,so2,2,1.5,2.9,1.5,9.8
31/12/2022,AU,Adelaide,co,16,1.6,2.6,1.9,0.88
31/12/2022,AU,Adelaide,no2,48,0.5,5.1,1.4,15.21
31/12/2022,AU,Adelaide,o3,43,3.7,10.6,6.5,36.45
31/12/2022,AU,Adelaide,pm10,78,7,29,13,243.83
31/12/2022,AU,Adelaide,pm2.5,63,5,42,25,933.46
31/12/2022,AU,Adelaide,so2,10,0.6,1.6,1.1,1
31/12/2022,AU,Brisbane,no2,97,0.5,4.6,1.4,10.29
31/12/2022,AU,Brisbane,o3,70,2.1,8.6,5.7,30.14
31/12/2022,AU,Brisbane,pm10,215,3,30,18,475.25
31/12/2022,AU,Brisbane,pm2.5,215,2,50,30,1692.39
31/12/2022,AU,Brisbane,so2,23,0.6,1.6,0.6,1.32
31/12/2022,AU,Canberra,co,23,0.1,8.1,7.7,149.63
31/12/2022,AU,Canberra,o3,68,4.1,12.2,6.5,48.21
31/12/2022,AU,Canberra,pm10,71,2,20,8,85.71
31/12/2022,AU,Canberra,pm2.5,70,2,44,22,715.99
31/12/2022,AU,Darwin,co,65,1.5,6.4,4.3,33.81
31/12/2022,AU,Darwin,no2,69,0.1,1.7,0.3,0.96
31/12/2022,AU,Darwin,o3,71,4.7,7.7,6.4,3.58
31/12/2022,AU,Darwin,pm10,72,5,39,19,808.17
31/12/2022,AU,Darwin,pm2.5,60,1,40,22,1116.64
31/12/2022,AU,Darwin,so2,45,0.1,0.9,0.7,1.16
31/12/2022,AU,Hobart,pm10,65,1,13,6,87.27
31/12/2022,AU,Hobart,pm2.5,63,5,38,9,305.9
31/12/2022,AU,Launceston,pm10,108,1,10,4,47.67
31/12/2022,AU,Launceston,pm2.5,43,5,17,9,100.64
31/12/2022,AU,Melbourne,co,80,1.3,3.8,1.8,3.52
31/12/2022,AU,Melbourne,no2,89,1.9,13,3.8,45.1
31/12/2022,AU,Melbourne,o3,92,9.6,39.2,21.6,889.8
31/12/2022,AU,Melbourne,pm10,120,5,31,17,377.01
31/12/2022,AU,Melbourne,pm2.5,167,2,62,36,1750.46
31/12/2022,AU,Melbourne,so2,79,0.1,2.9,0.7,1.55
31/12/2022,AU,Newcastle,no2,52,1,9.3,1.9,38.67
31/12/2022,AU,Newcastle,pm10,143,3,60,17,1132.53
31/12/2022,AU,Newcastle,pm2.5,134,2,70,18,1349.85
31/12/2022,AU,Newcastle,so2,29,1.5,10,1.5,62.1
31/12/2022,AU,Perth,no2,7,1.2,5.6,1.2,29.96
31/12/2022,AU,Perth,o3,68,8,35,18,249.03
31/12/2022,AU,Perth,pm10,92,5,16,9,81.08
31/12/2022,AU,Perth,pm2.5,91,2,23,8,310.85
31/12/2022,AU,Sydney,co,3,2.3,2.3,2.3,0
31/12/2022,AU,Sydney,no2,24,1,6.5,1.9,31.31
