Date,Country,City,Pollutant,count,min,max,median,variance,AQI,Rounded AQI
2022-12-29,AU,Wollongong,co,17,2.3,6.7,4.5,17.35,24.75,25
2022-12-29,AU,Wollongong,no2,35,1.0,13.9,2.8,148.88,1.1549999999999998,1
2022-12-29,AU,Wollongong,o3,44,0.8,15.2,9.6,174.62,4.728358208955224,5
2022-12-29,AU,Wollongong,pm10,48,4.0,47.0,16.0,990.81,10.56,11
2022-12-29,AU,Wollongong,pm2.5,46,1.0,53.0,22.0,1805.16,29.040000000000003,29
2022-12-29,AU,Wollongong,so2,16,1.5,17.2,2.9,326.39,0.719548872180451,1
2022-12-30,AU,Adelaide,co,19,1.6,2.7,2.1,1.74,11.55,12
2022-12-30,AU,Adelaide,no2,65,0.5,6.4,1.9,25.63,0.78375,1
2022-12-30,AU,Adelaide,o3,66,3.7,10.6,7.0,39.3,3.4477611940298507,3
2022-12-30,AU,Adelaide,pm10,120,10.0,37.0,19.0,310.35,12.540000000000001,13
2022-12-30,AU,Adelaide,pm2.5,95,5.0,50.0,21.0,1042.31,27.720000000000002,28
2022-12-30,AU,Adelaide,so2,18,0.6,1.6,0.6,1.22,0.1488721804511278,0
2022-12-30,AU,Brisbane,no2,114,0.5,6.9,1.4,16.59,0.5774999999999999,1
2022-12-30,AU,Brisbane,o3,71,1.7,7.8,4.1,16.45,2.0194029850746267,2
2022-12-30,AU,Brisbane,pm10,215,1.0,33.0,10.0,335.89,6.6000000000000005,7
2022-12-30,AU,Brisbane,pm2.5,214,1.0,40.0,14.0,1040.6,18.48,18
2022-12-30,AU,Brisbane,so2,13,0.6,2.1,0.6,3.27,0.1488721804511278,0
2022-12-30,AU,Canberra,co,38,0.1,8.2,0.4,156.77,2.2,2
2022-12-30,AU,Canberra,no2,7,0.5,1.4,0.5,1.3,0.20625,0
2022-12-30,AU,Canberra,o3,69,1.7,9.8,6.1,42.1,3.004477611940298,3
2022-12-30,AU,Canberra,pm10,69,1.0,13.0,4.0,65.75,2.64,3
2022-12-30,AU,Canberra,pm2.5,52,2.0,28.0,10.0,349.61,13.200000000000001,13
2022-12-30,AU,Darwin,co,71,1.3,6.0,4.3,32.4,23.65,24
2022-12-30,AU,Darwin,no2,71,0.1,1.7,0.3,1.31,0.12374999999999999,0
2022-12-30,AU,Darwin,o3,69,4.7,8.8,5.8,11.66,2.8567164179104476,3
2022-12-30,AU,Darwin,pm10,72,4.0,34.0,14.0,499.01,9.24,9
2022-12-30,AU,Darwin,pm2.5,63,1.0,28.0,13.0,629.88,17.16,17
2022-12-30,AU,Darwin,so2,58,0.1,0.9,0.1,1.06,0.02481203007518797,0
2022-12-30,AU,Hobart,pm10,70,2.0,11.0,6.0,51.18,3.96,4
2022-12-30,AU,Hobart,pm2.5,56,5.0,17.0,9.0,75.58,11.88,12
2022-12-30,AU,Launceston,pm10,118,1.0,13.0,6.0,43.42,3.96,4
2022-12-30,AU,Launceston,pm2.5,79,5.0,21.0,5.0,69.22,6.6000000000000005,7
2022-12-30,AU,Melbourne,co,92,0.9,3.6,1.4,3.33,7.699999999999999,8
2022-12-30,AU,Melbourne,no2,89,1.9,9.3,4.7,34.25,1.93875,2
2022-12-30,AU,Melbourne,o3,92,0.2,36.1,14.5,1690.42,7.141791044776119,7
2022-12-30,AU,Melbourne,pm10,120,6.0,37.0,22.0,714.11,14.520000000000001,15
2022-12-30,AU,Melbourne,pm2.5,164,2.0,67.0,35.0,2099.91,46.2,46
2022-12-30,AU,Melbourne,so2,71,0.7,1.5,1.4,0.61,0.34736842105263155,0
2022-12-30,AU,Newcastle,no2,38,1.0,8.4,1.9,35.67,0.78375,1
2022-12-30,AU,Newcastle,pm10,144,5.0,42.0,22.0,458.69,14.520000000000001,15
2022-12-30,AU,Newcastle,pm2.5,136,3.0,62.0,21.0,1448.23,27.720000000000002,28
2022-12-30,AU,Newcastle,so2,45,1.5,14.3,1.5,137.18,0.3721804511278195,0
2022-12-30,AU,Perth,no2,24,1.2,10.0,3.4,72.4,1.4024999999999999,1
